Designator,Mid X,Mid Y,Rotation,Layer
DA0,9.27,56.96,0.00,Top
DA1,2.79,42.48,180.00,Top
DA2,21.34,56.96,0.00,Top
DA3,14.86,42.48,180.00,Top
DA4,33.40,56.96,0.00,Top
DA5,26.92,42.48,180.00,Top
DA6,38.99,42.48,180.00,Top
DA7,45.47,56.96,0.00,Top
DA8,69.60,56.96,0.00,Top
DA9,63.12,42.48,180.00,Top
DA10,57.53,56.96,0.00,Top
DA11,51.05,42.48,180.00,Top
DA12,75.18,42.48,180.00,Top
DA13,81.66,56.96,0.00,Top
DA14,87.25,42.48,180.00,Top
DA15,93.73,56.96,0.00,Top
DD0,6.10,74.87,270.00,Top
DD1,5.97,24.57,90.00,Top
DD2,18.16,74.87,270.00,Top
DD3,18.03,24.57,90.00,Top
DD4,30.23,74.87,270.00,Top
DD5,30.10,24.57,90.00,Top
DD6,42.16,24.57,90.00,Top
DD7,42.29,74.87,270.00,Top
DD8,66.42,74.87,270.00,Top
DD9,66.29,24.57,90.00,Top
DD10,54.36,74.87,270.00,Top
DD11,54.23,24.57,90.00,Top
DD12,78.36,24.57,90.00,Top
DD13,78.49,74.87,270.00,Top
DD14,90.42,24.57,90.00,Top
DD15,90.55,74.87,270.00,Top
MT1,PTH,0.00,0.00,Top
MT2,PTH,0.00,0.00,Top
MT3,PTH,0.00,0.00,Top
MT4,PTH,0.00,0.00,Top
